Numero de palabras del corpus phishing: 71870
Palabra: a  Frec: 1385
Palabra: aa  Frec: 97
Palabra: aaa  Frec: 13
Palabra: aaaaaa  Frec: 3
Palabra: aaalzdx  Frec: 1
Palabra: aaaplusdirect  Frec: 1
Palabra: aaarghh  Frec: 1
Palabra: aaas  Frec: 3
Palabra: aaasash  Frec: 1
Palabra: aaaxvzdvjtngtszhjxzforaipzmknnhazxwqroubbbocjtxpkntpqfnlibzzlzwpwrucnpeeujonkszymkokdnlvbk  Frec: 1
Palabra: aac  Frec: 2
Palabra: aaccess  Frec: 1
Palabra: aad  Frec: 1
Palabra: aadaluzebcp  Frec: 1
Palabra: aadfaixsfsmqrhnpchzyzoclxmtilkbhcwg  Frec: 1
Palabra: aads  Frec: 6
Palabra: aadvglu  Frec: 1
Palabra: aafco  Frec: 1
Palabra: aafter  Frec: 1
Palabra: aag  Frec: 1
Palabra: aaghpdvvu  Frec: 1
Palabra: aagrra  Frec: 3
Palabra: aahxqymprrfheoewyuwpjjjlgztvgpavs  Frec: 1
Palabra: aak  Frec: 1
Palabra: aaks  Frec: 1
Palabra: aal  Frec: 3
Palabra: aall  Frec: 7
Palabra: aalman  Frec: 1
Palabra: aan  Frec: 3
Palabra: aangaande  Frec: 1
Palabra: aangekondigde  Frec: 3
Palabra: aannemers  Frec: 1
Palabra: aanspraak  Frec: 1
Palabra: aantal  Frec: 1
Palabra: aao  Frec: 4
Palabra: aaqkhe  Frec: 1
Palabra: aaqskzjrgabaqeblaesaad  Frec: 1
Palabra: aare  Frec: 1
Palabra: aarhus  Frec: 1
Palabra: aaron  Frec: 7
Palabra: aaronepstein  Frec: 1
Palabra: aas  Frec: 3
Palabra: aastrom  Frec: 1
Palabra: aasxc  Frec: 1
Palabra: aattacks  Frec: 1
Palabra: aauscewtaclfswjjndgsusygtwn  Frec: 1
Palabra: aavishkar  Frec: 1
Palabra: aawaaaaaaaaaaaamflopabkxglybalyyhzqldvubxxhzfaqkaakaaaaaaaaaaanssiafmljltnbkfubtiyxlzgyooddujccljmdukrxjdqsfvxumeiodkmvbikrwvpwponoycwjylozconvfdawzgncp  Frec: 1
Palabra: aawfcvwyfk  Frec: 3
Palabra: aawhnoaaaaaaaaagqaokcxlamsbksistxvaammspryulfzbwvebhhoksbkknhyuvltjdqogjprkhjzjcotwgogjprkmxuftbnadaaahjsuiuunhibrgzljynogaacmlizbuxlpziablaaaaaaaahiyjjzi  Frec: 1
Palabra: aawqw  Frec: 1
Palabra: aaxsyrftqaojzaaaaaaaaaaaaaaaabxlmhyv  Frec: 1
Palabra: aazbi  Frec: 1
Palabra: aazljzyptbwffjxjvhprruttfssamxskvzx  Frec: 1
Palabra: ab  Frec: 110
Palabra: aba  Frec: 5
Palabra: ababa  Frec: 1
Palabra: abacha  Frec: 47
Palabra: abachac  Frec: 1
Palabra: aback  Frec: 4
Palabra: abacus  Frec: 3
Palabra: abadi  Frec: 1
Palabra: abajo  Frec: 4
Palabra: abalone  Frec: 4
Palabra: abandon  Frec: 9
Palabra: abandoned  Frec: 21
Palabra: abanico  Frec: 1
Palabra: abank  Frec: 1
Palabra: abaqqq  Frec: 1
Palabra: abase  Frec: 1
Palabra: abash  Frec: 2
Palabra: abashed  Frec: 1
Palabra: abate  Frec: 3
Palabra: abatement  Frec: 3
Palabra: abater  Frec: 1
Palabra: abazis  Frec: 4
Palabra: abb  Frec: 1
Palabra: abbas  Frec: 1
Palabra: abbe  Frec: 3
Palabra: abbestellen  Frec: 1
Palabra: abbey  Frec: 4
Palabra: abbfxpuwd  Frec: 1
Palabra: abbonati  Frec: 4
Palabra: abboni  Frec: 3
Palabra: abbot  Frec: 1
Palabra: abbott  Frec: 4
Palabra: abbreviate  Frec: 1
Palabra: abbreviation  Frec: 2
Palabra: abbreviations  Frec: 1
Palabra: abby  Frec: 2
Palabra: abc  Frec: 17
Palabra: abcd  Frec: 2
Palabra: abcdef  Frec: 3
Palabra: abcsearch  Frec: 2
Palabra: abcsony  Frec: 1
Palabra: abcvtxhdeloefqttgeyxuknolkjlqskpdxqxjevqaaigaaaaaaaaaaaaaaaiwqujtswvzpp  Frec: 1
Palabra: abcxekrasw  Frec: 1
Palabra: abdallat  Frec: 6
Palabra: abdc  Frec: 11
Palabra: abdeckt  Frec: 1
Palabra: abdel  Frec: 1
