Numero de palabras del corpus Safe: 101215
Palabra: a  Frec: 841
Palabra: aa  Frec: 151
Palabra: aaa  Frec: 59
Palabra: aaaaanyway  Frec: 1
Palabra: aaaahhhhhh  Frec: 1
Palabra: aaai  Frec: 56
Palabra: aaal  Frec: 32
Palabra: aaar  Frec: 1
Palabra: aaarghh  Frec: 2
Palabra: aaas  Frec: 81
Palabra: aabb  Frec: 3
Palabra: aablog  Frec: 4
Palabra: aabyhoej  Frec: 3
Palabra: aac  Frec: 6
Palabra: aaccess  Frec: 2
Palabra: aace  Frec: 42
Palabra: aachecar  Frec: 1
Palabra: aachen  Frec: 42
Palabra: aad  Frec: 2
Palabra: aadbchow  Frec: 1
Palabra: aadcopyright  Frec: 1
Palabra: aae  Frec: 3
Palabra: aafarli  Frec: 2
Palabra: aafke  Frec: 8
Palabra: aafter  Frec: 2
Palabra: aag  Frec: 2
Palabra: aaghbar  Frec: 9
Palabra: aagrawal  Frec: 1
Palabra: aahus  Frec: 3
Palabra: aaj  Frec: 2
Palabra: aak  Frec: 3
Palabra: aal  Frec: 15
Palabra: aala  Frec: 3
Palabra: aalb  Frec: 1
Palabra: aalborg  Frec: 21
Palabra: aaldano  Frec: 1
Palabra: aale  Frec: 3
Palabra: aalib  Frec: 6
Palabra: aaliyah  Frec: 2
Palabra: aallan  Frec: 3
Palabra: aameetings  Frec: 1
Palabra: aamodt  Frec: 8
Palabra: aamt  Frec: 17
Palabra: aan  Frec: 11
Palabra: aanbevelingen  Frec: 3
Palabra: aanhalingstekens  Frec: 6
Palabra: aantal  Frec: 9
Palabra: aap  Frec: 9
Palabra: aapl  Frec: 1
Palabra: aarbakke  Frec: 3
Palabra: aardvark  Frec: 1
Palabra: aardvarkdj  Frec: 1
Palabra: aardvarkzilla  Frec: 1
Palabra: aaret  Frec: 3
Palabra: aarhus  Frec: 25
Palabra: aarne  Frec: 6
Palabra: aarno  Frec: 3
Palabra: aaron  Frec: 46
Palabra: aarondot  Frec: 2
Palabra: aarons  Frec: 3
Palabra: aaronsw  Frec: 19
Palabra: aarp  Frec: 2
Palabra: aarts  Frec: 15
Palabra: aas  Frec: 4
Palabra: aaspokesman  Frec: 1
Palabra: aat  Frec: 3
Palabra: aatsp  Frec: 3
Palabra: aau  Frec: 26
Palabra: aave  Frec: 8
Palabra: aavid  Frec: 1
Palabra: aaweb  Frec: 1
Palabra: aaxine  Frec: 1
Palabra: ab  Frec: 213
Palabra: aba  Frec: 1
Palabra: ababa  Frec: 7
Palabra: aback  Frec: 2
Palabra: abackof  Frec: 1
Palabra: abackup  Frec: 2
Palabra: abacus  Frec: 6
Palabra: abacustech  Frec: 7
Palabra: abad  Frec: 2
Palabra: abaitua  Frec: 3
Palabra: abajero  Frec: 3
Palabra: abancdoned  Frec: 3
Palabra: abandon  Frec: 14
Palabra: abandoned  Frec: 40
Palabra: abandoning  Frec: 19
Palabra: abandonment  Frec: 13
Palabra: abandonned  Frec: 2
Palabra: abandons  Frec: 5
Palabra: abank  Frec: 3
Palabra: abarbanel  Frec: 6
Palabra: abarch  Frec: 1
Palabra: abarron  Frec: 2
Palabra: abase  Frec: 1
Palabra: abate  Frec: 1
Palabra: abates  Frec: 1
Palabra: abathroom  Frec: 1
Palabra: abaurre  Frec: 3
Palabra: abazillion  Frec: 1
Palabra: abb  Frec: 15
Palabra: abba  Frec: 1
Palabra: abbadingo  Frec: 4
Palabra: abbanat  Frec: 1
Palabra: abbas  Frec: 16
Palabra: abbe  Frec: 3
Palabra: abbett  Frec: 1
Palabra: abbey  Frec: 5
Palabra: abbi  Frec: 6
Palabra: abbildung  Frec: 5
Palabra: abbl  Frec: 1
Palabra: abbott  Frec: 22
Palabra: abbreaviated  Frec: 3
Palabra: abbreviated  Frec: 30
Palabra: abbreviation  Frec: 21
Palabra: abbreviations  Frec: 26
Palabra: abbs  Frec: 3
Palabra: abby  Frec: 4
Palabra: abbyy  Frec: 3
Palabra: abc  Frec: 35
Palabra: abcb  Frec: 2
Palabra: abcnews  Frec: 5
Palabra: abcqojps  Frec: 1
Palabra: abd  Frec: 23
Palabra: abdel  Frec: 6
Palabra: abdelkader  Frec: 9
Palabra: abdellah  Frec: 9
Palabra: abdellatif  Frec: 3
Palabra: abdelmajid  Frec: 21
Palabra: abdelnour  Frec: 1
Palabra: abdelouahab  Frec: 3
Palabra: abderrahim  Frec: 2
Palabra: abdomen  Frec: 3
Palabra: abdominal  Frec: 1
Palabra: abducted  Frec: 5
Palabra: abductee  Frec: 1
Palabra: abductees  Frec: 2
Palabra: abduction  Frec: 32
Palabra: abductions  Frec: 1
Palabra: abductive  Frec: 9
Palabra: abdul  Frec: 8
Palabra: abdulaziz  Frec: 6
